timestamp,wind_speed_100m_ms,wind_speed_10m_ms,wind_direction_100m_deg,temperature_c
2021-01-01 00:00:00,9.65,6.43,77,24.2
2021-01-01 01:00:00,9.73,6.43,78,24.0
2021-01-01 02:00:00,9.83,6.53,78,23.7
2021-01-01 03:00:00,9.22,5.95,81,23.6
2021-01-01 04:00:00,9.4,6.15,81,23.5
2021-01-01 05:00:00,9.23,6.01,86,23.5
2021-01-01 06:00:00,8.93,5.71,86,23.6
2021-01-01 07:00:00,8.31,4.9,87,24.6
2021-01-01 08:00:00,9.9,7.9,89,26.2
2021-01-01 09:00:00,10.9,8.81,91,27.6
2021-01-01 10:00:00,11.42,9.31,87,28.5
2021-01-01 11:00:00,11.31,9.3,87,29.2
2021-01-01 12:00:00,11.71,9.7,88,29.7
2021-01-01 13:00:00,11.34,9.43,85,29.5
2021-01-01 14:00:00,11.95,9.72,81,29.8
2021-01-01 15:00:00,12.28,9.9,78,28.8
2021-01-01 16:00:00,12.09,9.56,74,27.7
2021-01-01 17:00:00,11.48,8.7,70,26.3
2021-01-01 18:00:00,10.05,7.0,68,25.1
2021-01-01 19:00:00,9.77,6.04,70,25.0
2021-01-01 20:00:00,10.25,6.77,73,25.0
2021-01-01 21:00:00,10.55,7.04,77,24.8
2021-01-01 22:00:00,11.24,7.68,81,24.5
2021-01-01 23:00:00,11.64,7.98,81,24.0
2021-01-02 00:00:00,11.94,8.17,81,23.9
2021-01-02 01:00:00,11.83,8.02,86,23.6
2021-01-02 02:00:00,11.29,7.67,83,23.5
2021-01-02 03:00:00,11.84,7.99,81,23.4
2021-01-02 04:00:00,11.59,7.73,80,23.0
2021-01-02 05:00:00,11.97,8.12,80,23.2
2021-01-02 06:00:00,11.84,7.99,81,23.1
2021-01-02 07:00:00,10.92,6.35,82,24.1
2021-01-02 08:00:00,12.22,9.28,82,25.4
2021-01-02 09:00:00,12.54,9.92,85,26.8
2021-01-02 10:00:00,13.45,10.82,85,28.2
2021-01-02 11:00:00,13.44,10.92,86,29.0
2021-01-02 12:00:00,13.16,10.74,84,29.5
2021-01-02 13:00:00,13.68,11.05,84,30.0
2021-01-02 14:00:00,13.6,10.95,80,29.8
2021-01-02 15:00:00,13.22,10.53,77,29.0
2021-01-02 16:00:00,12.86,10.04,75,28.0
2021-01-02 17:00:00,12.14,9.04,71,26.6
2021-01-02 18:00:00,11.45,7.75,72,25.5
